policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,sum_insured,policy_status
POL001,CUST001,Health,2025-01-15,2026-01-14,18500,500000,Active
POL002,CUST002,Motor,2025-03-10,2026-03-09,12400,350000,Active
POL003,CUST003,Health,2024-11-20,2025-11-19,22000,750000,Expired
POL004,CUST004,Life,2025-02-01,2045-01-31,32000,2500000,Active
POL005,CUST005,Motor,2025-04-12,2026-04-11,15600,600000,Active
POL006,CUST006,Health,2025-06-01,2026-05-31,19800,500000,Active
POL007,CUST007,Life,2024-09-15,2044-09-14,45000,4000000,Active
POL008,CUST008,Health,2025-02-18,2026-02-17,17500,400000,Active
POL009,CUST009,Motor,2025-05-25,2026-05-24,14200,450000,Active
POL010,CUST010,Health,2024-12-01,2025-11-30,21000,600000,Expired
POL011,CUST011,Motor,2025-07-10,2026-07-09,13500,400000,Active
POL012,CUST012,Life,2025-01-05,2045-01-04,38000,3000000,Active
