claim_id,policy_id,settlement_date,settlement_amount,claim_status,currency
CLM001,POL001,2026-10-01,50000,Approved,INR
CLM002,POL002,2026-10-01,75000,Settled,INR
CLM003,POL003,2026-10-01,25000,Approved,INR
CLM004,POL004,2026-10-01,90000,Pending,INR
CLM005,POL005,2026-10-01,45000,Settled,INR
CLM006,POL006,2026-10-01,60000,Approved,INR
CLM007,POL007,2026-10-01,30000,Pending,INR
CLM008,POL008,2026-10-01,85000,Settled,INR
CLM009,POL009,2026-10-01,55000,Approved,INR
CLM010,POL010,2026-10-01,70000,Settled,INR
