payment_id,policy_id,customer_id,payment_date,payment_amount,payment_method,payment_status
PAY001,POL001,CUST001,2025-01-15,18500,UPI,Successful
PAY002,POL002,CUST002,2025-03-10,12400,Credit Card,Successful
PAY003,POL003,CUST003,2024-11-20,22000,Net Banking,Successful
PAY004,POL004,CUST004,2025-02-01,32000,UPI,Successful
PAY005,POL005,CUST005,2025-04-12,15600,Debit Card,Successful
PAY006,POL006,CUST006,2025-06-01,19800,UPI,Successful
PAY007,POL007,CUST007,2024-09-15,45000,Net Banking,Successful
PAY008,POL008,CUST008,2025-02-18,17500,Credit Card,Successful
PAY009,POL009,CUST009,2025-05-25,14200,UPI,Successful
PAY010,POL010,CUST010,2024-12-01,21000,Debit Card,Successful
PAY011,POL011,CUST011,2025-07-10,13500,UPI,Successful
PAY012,POL012,CUST012,2025-01-05,38000,Net Banking,Successful
